deployments,CPU_REQUESTS,CPU_95,CPU_95_MARGEN,CPU_REQUEST_CORRECTO,CPU_SUBASIGNADO,CPU_SOBREASIGNADO,SIN_ASIGNAR_CPU,MEMORY_REQUESTS_in_MB,Memory_95,MEMORY_95_MARGEN,MEMORY_REQUEST_CORRECTO,MEMORY_SUBASIGNADO,MEMORY_SOBREASIGNADO,SIN_ASIGNAR_MEMORY
deploy64,0.01,0.0073,0.0084,False,False,True,False,62.91,172.09,197.9,False,True,False,False
deploy65,0.1,0.0104,0.012,False,False,True,False,1048.58,390.04,448.55,False,False,True,False
deploy66,0.1,0.0101,0.0116,False,False,True,False,1048.58,373.41,429.42,False,False,True,False
deploy67,0.05,0.0422,0.0485,False,False,True,False,104.86,261.64,300.89,False,True,False,False
deploy68,0.01,0.0088,0.0101,True,False,False,False,104.86,201.15,231.32,False,True,False,False
deploy69,0.1,0.051,0.0586,False,False,True,False,524.29,328.98,378.33,False,False,True,False
deploy70,0.25,0.0556,0.0639,False,False,True,False,2621.45,455.05,523.31,False,False,True,False
deploy71,0.05,0.254,0.2921,False,True,False,False,419.43,515.7,593.05,False,True,False,False
deploy72,0.02,0.0056,0.0064,False,False,True,False,2097.16,240.2,276.23,False,False,True,False
deploy73,0.05,0.0138,0.0159,False,False,True,False,629.15,257.99,296.69,False,False,True,False
deploy74,0.2,0.0067,0.0077,False,False,True,False,838.86,358.05,411.76,False,False,True,False
deploy75,0.4,0.0223,0.0256,False,False,True,False,524.29,292.73,336.64,False,False,True,False
deploy76,0.2,0.0089,0.0102,False,False,True,False,838.86,412.51,474.39,False,False,True,False
deploy77,0.3,0.2353,0.2706,False,False,True,False,838.86,1909.93,2196.42,False,True,False,False
deploy78,0.05,0.1237,0.1423,False,True,False,False,524.29,853.58,981.62,False,True,False,False
deploy79,0.4,0.0219,0.0252,False,False,True,False,524.29,374.26,430.4,False,False,True,False
deploy80,0.3,0.0452,0.052,False,False,True,False,3145.74,3970.43,4565.99,False,True,False,False
deploy81,0.1,0.0634,0.0729,False,False,True,False,524.29,978.42,1125.18,False,True,False,False
deploy82,0.1,0.0232,0.0267,False,False,True,False,314.57,298.83,343.65,True,False,False,False
deploy83,0.1,0.0042,0.0048,False,False,True,False,314.57,299.32,344.22,True,False,False,False
deploy84,0.1,0.0422,0.0485,False,False,True,False,314.57,332.74,382.65,False,True,False,False
deploy85,0.3,0.0052,0.006,False,False,True,False,2097.16,296.73,341.24,False,False,True,False
deploy86,0.3,0.0888,0.1021,False,False,True,False,2097.16,1170.43,1345.99,False,False,True,False
deploy87,0.3,0.0043,0.0049,False,False,True,False,2097.16,363.88,418.46,False,False,True,False
deploy88,0.3,0.0503,0.0578,False,False,True,False,838.86,378.19,434.92,False,False,True,False
